timestamp,jordanian_dinar_target,feature_currency_1_MVR,feature_currency_2_MMK,feature_currency_3_INR,feature_currency_4_NPR,feature_currency_5_VND
2004-01-01 00:00:00+03:00,0.71,12.8,6.18,45.53,70.6,15147.0
2004-01-02 00:00:00+03:00,0.7,12.8,6.18,45.6,70.6,15147.0
2004-01-05 00:00:00+03:00,0.71,12.8,6.18,45.47,70.62,15148.0
2004-01-06 00:00:00+03:00,0.71,12.8,6.18,45.55,70.58,15150.0
2004-01-07 00:00:00+03:00,0.71,12.8,6.18,45.39,70.6,15153.0
2004-01-08 00:00:00+03:00,0.71,12.8,6.17,45.47,70.46,15129.0
2004-01-09 00:00:00+03:00,0.7,12.8,6.19,45.35,70.66,15176.0
2004-01-12 00:00:00+03:00,0.71,12.8,6.18,45.34,70.63,15158.0
2004-01-13 00:00:00+03:00,0.71,12.8,6.18,45.31,70.62,15163.0
2004-01-14 00:00:00+03:00,0.71,12.8,6.18,45.33,70.61,15162.0
2004-01-15 00:00:00+03:00,0.71,12.8,6.18,45.35,70.6,15164.0
2004-01-16 00:00:00+03:00,0.7,12.8,6.19,45.33,70.71,15187.0
2004-01-19 00:00:00+03:00,0.71,12.8,6.17,45.33,70.5,15143.0
2004-01-20 00:00:00+03:00,0.71,12.8,6.17,45.33,70.46,15138.0
2004-01-21 00:00:00+03:00,0.71,12.8,6.18,45.31,70.54,15153.0
2004-01-22 00:00:00+03:00,0.71,12.8,6.18,45.32,70.63,15172.0
2004-01-23 00:00:00+03:00,0.7,12.8,6.19,45.24,70.73,15192.0
2004-01-26 00:00:00+03:00,0.71,12.8,6.18,45.23,70.64,15174.0
2004-01-27 00:00:00+03:00,0.71,12.8,6.17,45.27,70.54,15170.0
2004-01-28 00:00:00+03:00,0.71,12.8,6.18,45.25,70.64,15194.0
2004-01-29 00:00:00+03:00,0.71,12.8,6.18,45.27,70.62,15198.0
2004-01-30 00:00:00+03:00,0.7,12.8,6.17,45.0,70.48,15165.0
2004-02-02 00:00:00+03:00,0.71,12.8,6.17,45.17,70.5,15179.0
2004-02-03 00:00:00+03:00,0.7,12.8,6.18,45.21,70.61,15228.0
2004-02-04 00:00:00+03:00,0.71,12.8,6.18,45.21,70.61,15228.0
2004-02-05 00:00:00+03:00,0.71,12.8,6.18,45.21,70.58,15216.0
2004-02-06 00:00:00+03:00,0.71,12.8,6.18,45.17,70.6,15208.0
2004-02-09 00:00:00+03:00,0.71,12.8,6.21,45.19,70.97,15304.0
2004-02-10 00:00:00+03:00,0.71,12.8,6.18,45.18,70.61,15208.0
2004-02-11 00:00:00+03:00,0.71,12.8,6.18,45.19,70.59,15190.0
2004-02-12 00:00:00+03:00,0.71,12.8,6.18,45.2,70.63,15195.0
2004-02-13 00:00:00+03:00,0.71,12.8,6.18,45.36,70.64,15222.0
2004-02-16 00:00:00+03:00,0.71,12.8,6.18,45.18,70.63,15226.0
2004-02-17 00:00:00+03:00,0.71,12.8,6.19,45.2,70.67,15243.0
2004-02-18 00:00:00+03:00,0.71,12.8,6.19,45.17,70.69,15242.0
2004-02-19 00:00:00+03:00,0.71,12.8,6.18,45.19,70.63,15225.0
2004-02-20 00:00:00+03:00,0.7,12.8,6.18,45.17,70.59,15231.0
2004-02-23 00:00:00+03:00,0.71,12.8,6.18,45.17,70.61,15239.0
2004-02-24 00:00:00+03:00,0.71,12.8,6.18,45.21,70.59,15248.0
2004-02-25 00:00:00+03:00,0.71,12.8,6.19,45.19,70.69,15269.0
2004-02-26 00:00:00+03:00,0.71,12.8,6.18,45.17,70.56,15226.0
2004-02-27 00:00:00+03:00,0.71,12.8,6.18,45.2,70.56,15242.0
2004-03-01 00:00:00+03:00,0.71,12.8,6.18,45.17,70.61,15257.0
2004-03-02 00:00:00+03:00,0.71,12.8,6.18,45.18,70.61,15257.0
2004-03-03 00:00:00+03:00,0.71,12.8,6.19,45.15,70.67,15280.0
2004-03-04 00:00:00+03:00,0.71,12.8,6.18,45.23,70.64,15287.0
2004-03-05 00:00:00+03:00,0.7,12.8,6.17,45.19,70.55,15263.0
2004-03-08 00:00:00+03:00,0.71,12.8,6.18,45.18,70.62,15269.0
2004-03-09 00:00:00+03:00,0.71,12.8,6.18,45.13,70.55,15247.0
